,Model,Activity,Age,Weight_kg,Height_m,Muscle_Name,Value
93,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,LTpL_L3_r,1.77977005
94,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,LTpL_L2_r,1.90513813
95,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,LTpL_L1_r,1.36040851
96,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,LTpL_L5_l,76.32955478
97,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,LTpL_L4_l,23.31513298
98,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,LTpL_L3_l,1.77897371
99,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,LTpL_L2_l,1.48239897
100,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,LTpL_L1_l,1.35953648
101,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,QL_post_I_1-L3_r,1.70479422
102,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,QL_post_I_2-L4_r,3.57520137
103,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,QL_post_I_2-L3_r,1.32694932
104,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,QL_post_I_2-L2_r,0.81664119
105,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,QL_post_I_3-L1_r,1.84019786
106,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,QL_post_I_3-L2_r,1.24706754
107,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,QL_post_I_3-L3_r,2.19031093
108,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,QL_post_I_1-L3_l,1.71010610
109,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,QL_post_I_2-L4_l,3.48319654
110,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,QL_post_I_2-L3_l,1.31969330
111,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,QL_post_I_2-L2_l,0.80674857
112,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,QL_post_I_3-L1_l,1.82532079
113,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,QL_post_I_3-L2_l,1.22204301
114,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,QL_post_I_3-L3_l,3.44814544
115,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,QL_mid_L3-12_3_r,0.82612153
116,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,QL_mid_L3-12_2_r,0.93308971
117,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,QL_mid_L3-12_1_r,1.55621164
118,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,QL_mid_L2-12_1_r,3.85419644
119,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,QL_mid_L4-12_3_r,1.01571787
120,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,QL_mid_L3-12_3_l,0.82984718
121,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,QL_mid_L3-12_2_l,0.93446527
122,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,QL_mid_L3-12_1_l,1.55750937
123,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,QL_mid_L2-12_1_l,3.84673938
124,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,QL_mid_L4-12_3_l,1.01995768
125,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,QL_ant_I_2-T12_r,0.99701673
126,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,QL_ant_I_3-T12_r,1.86520875
127,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,QL_ant_I_2-12_1_r,0.61357645
128,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,QL_ant_I_3-12_1_r,1.15814685
129,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,QL_ant_I_3-12_2_r,0.84437142
130,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,QL_ant_I_3-12_3_r,0.97516163
131,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,QL_ant_I_2-T12_l,1.03917636
132,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,QL_ant_I_3-T12_l,5.95466513
133,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,QL_ant_I_2-12_1_l,0.60949475
134,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,QL_ant_I_3-12_1_l,1.14399062
135,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,QL_ant_I_3-12_2_l,0.83325164
136,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,QL_ant_I_3-12_3_l,0.96259644
137,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,MF_m1s_r,1.06764599
138,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,MF_m1t_1_r,0.86597666
139,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,MF_m1t_2_r,0.66735014
140,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,MF_m1t_3_r,1.10358023
141,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,MF_m2s_r,0.60079488
142,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,MF_m2t_1_r,0.58250960
143,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,MF_m2t_2_r,1.47792881
144,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,MF_m2t_3_r,1.75537975
145,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,MF_m3s_r,0.75376898
146,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,MF_m3t_1_r,0.79643553
147,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,MF_m3t_2_r,0.79421895
148,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,MF_m3t_3_r,0.79421895
149,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,MF_m4s_r,0.91634995
150,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,MF_m4t_1_r,0.87448040
151,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,MF_m4t_2_r,0.89941944
152,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,MF_m4t_3_r,0.99390460
153,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,MF_m5s_r,5.60041404
154,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,MF_m5t_1_r,7.16057348
155,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,MF_m5t_2_r,6.83556006
156,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,MF_m5t_3_r,6.42405289
157,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,MF_m1_laminar_r,0.53242724
