sex,age_group,model_file,thoracic1_x_norm,thoracic1_y_norm,thoracic1_z_norm,thoracic2_x_norm,thoracic2_y_norm,thoracic2_z_norm,thoracic3_x_norm,thoracic3_y_norm,thoracic3_z_norm,thoracic4_x_norm,thoracic4_y_norm,thoracic4_z_norm,thoracic5_x_norm,thoracic5_y_norm,thoracic5_z_norm,thoracic6_x_norm,thoracic6_y_norm,thoracic6_z_norm,thoracic7_x_norm,thoracic7_y_norm,thoracic7_z_norm,thoracic8_x_norm,thoracic8_y_norm,thoracic8_z_norm,thoracic9_x_norm,thoracic9_y_norm,thoracic9_z_norm,thoracic10_x_norm,thoracic10_y_norm,thoracic10_z_norm,thoracic11_x_norm,thoracic11_y_norm,thoracic11_z_norm,thoracic12_x_norm,thoracic12_y_norm,thoracic12_z_norm,lumbar1_x_norm,lumbar1_y_norm,lumbar1_z_norm,lumbar2_x_norm,lumbar2_y_norm,lumbar2_z_norm,lumbar3_x_norm,lumbar3_y_norm,lumbar3_z_norm,lumbar4_x_norm,lumbar4_y_norm,lumbar4_z_norm,lumbar5_x_norm,lumbar5_y_norm,lumbar5_z_norm
Male,Age4049,408_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,-0.0,1.0,0.0,-0.014663,0.953828,0.0,-0.028059,0.902468,0.0,-0.038837,0.844978,0.0,-0.048787,0.797367,0.0,-0.053302,0.748502,0.0,-0.0488,0.698071,0.0,-0.045495,0.644798,0.0,-0.038432,0.590559,0.0,-0.028539,0.533979,0.0,-0.011389,0.475766,0.0,0.007978,0.408552,0.0,0.026483,0.337233,0.0,0.032691,0.256587,0.0,0.043324,0.175017,0.0,0.036312,0.087345,0.0,0.0,0.0,0.0
Male,Age4049,448_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.0,1.0,0.0,-0.011113,0.954323,0.0,-0.020655,0.903712,0.0,-0.027253,0.84734,0.0,-0.029346,0.799287,0.0,-0.033955,0.74816,0.0,-0.034799,0.695828,0.0,-0.034213,0.642935,0.0,-0.035799,0.585955,0.0,-0.027931,0.5286,0.0,-0.014992,0.466939,0.0,0.004272,0.399948,0.0,0.018723,0.328717,0.0,0.024934,0.248993,0.0,0.037318,0.170926,0.0,0.032872,0.085698,0.0,0.0,0.0,0.0
Male,Age4049,461_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.0,1.0,0.0,-0.015763,0.956936,0.0,-0.030541,0.908913,0.0,-0.043097,0.854987,0.0,-0.052381,0.80681,0.0,-0.058689,0.753746,0.0,-0.060131,0.699644,0.0,-0.057488,0.644926,0.0,-0.049391,0.58817,0.0,-0.036588,0.530857,0.0,-0.018882,0.467841,0.0,-0.002161,0.397732,0.0,0.014857,0.324525,0.0,0.023986,0.246841,0.0,0.036603,0.166706,0.0,0.032167,0.083568,0.0,0.0,0.0,0.0
Male,Age4049,544_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.0,1.0,0.0,-0.010305,0.956626,0.0,-0.019091,0.908576,0.0,-0.025056,0.855081,0.0,-0.02812,0.804321,0.0,-0.026194,0.75191,0.0,-0.024769,0.696261,0.0,-0.022391,0.64099,0.0,-0.019588,0.583516,0.0,-0.015385,0.522523,0.0,-0.007893,0.457849,0.0,0.003268,0.3898,0.0,0.020967,0.319224,0.0,0.037671,0.242336,0.0,0.045511,0.159559,0.0,0.036223,0.079154,0.0,0.0,0.0,0.0
Male,Age4049,545_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.0,1.0,0.0,-0.020897,0.959115,0.0,-0.041416,0.913182,0.0,-0.060443,0.861113,0.0,-0.068603,0.810923,0.0,-0.074923,0.757806,0.0,-0.06984,0.706891,0.0,-0.060223,0.657734,0.0,-0.048999,0.603184,0.0,-0.032055,0.543617,0.0,-0.012945,0.477409,0.0,0.001033,0.403875,0.0,0.015554,0.328182,0.0,0.028378,0.246967,0.0,0.039617,0.166232,0.0,0.033694,0.083082,0.0,0.0,0.0,0.0
Male,Age4049,564_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.0,1.0,0.0,-0.014856,0.95846,0.0,-0.028727,0.912157,0.0,-0.040416,0.860189,0.0,-0.050779,0.807013,0.0,-0.057999,0.750697,0.0,-0.063562,0.695439,0.0,-0.066517,0.641912,0.0,-0.066394,0.584699,0.0,-0.060511,0.524714,0.0,-0.043317,0.462708,0.0,-0.019045,0.395695,0.0,0.005488,0.324632,0.0,0.027796,0.2436,0.0,0.039001,0.159492,0.0,0.032841,0.079635,0.0,0.0,0.0,0.0
Male,Age4049,588_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.0,1.0,0.0,-0.016035,0.956317,0.0,-0.031075,0.907599,0.0,-0.043862,0.85289,0.0,-0.054127,0.805632,0.0,-0.060031,0.755298,0.0,-0.060348,0.706937,0.0,-0.054616,0.656639,0.0,-0.051075,0.601963,0.0,-0.044019,0.542785,0.0,-0.036542,0.479466,0.0,-0.026351,0.408117,0.0,-0.009968,0.332242,0.0,0.006358,0.250923,0.0,0.024841,0.171396,0.0,0.026438,0.086928,0.0,0.0,0.0,0.0
Male,Age4049,611_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.0,1.0,0.0,-0.009634,0.956229,0.0,-0.017666,0.907784,0.0,-0.02277,0.853913,0.0,-0.023816,0.804118,0.0,-0.020978,0.755788,0.0,-0.019916,0.706573,0.0,-0.014295,0.656855,0.0,-0.009013,0.604367,0.0,-0.000889,0.543922,0.0,0.008411,0.477671,0.0,0.017597,0.404808,0.0,0.0293,0.328169,0.0,0.035288,0.244864,0.0,0.044111,0.160865,0.0,0.0356,0.079944,0.0,0.0,0.0,0.0
Male,Age4049,688_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.0,1.0,0.0,-0.012972,0.951632,0.0,-0.024391,0.897965,0.0,-0.032819,0.838091,0.0,-0.038173,0.790618,0.0,-0.037704,0.740889,0.0,-0.031897,0.691457,0.0,-0.026421,0.639519,0.0,-0.020742,0.586356,0.0,-0.011644,0.530129,0.0,-0.001766,0.470332,0.0,0.013044,0.406171,0.0,0.025529,0.333425,0.0,0.034841,0.256112,0.0,0.044683,0.180945,0.0,0.037485,0.090312,0.0,0.0,0.0,0.0
Male,Age4049,797_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.0,1.0,0.0,-0.016654,0.95442,0.0,-0.032261,0.903595,0.0,-0.045509,0.846523,0.0,-0.048947,0.797818,0.0,-0.050999,0.748082,0.0,-0.049367,0.697533,0.0,-0.047235,0.645218,0.0,-0.044863,0.590571,0.0,-0.036947,0.532719,0.0,-0.022622,0.469617,0.0,-0.00475,0.401302,0.0,0.010161,0.331749,0.0,0.028305,0.254431,0.0,0.04004,0.176106,0.0,0.034695,0.088169,0.0,0.0,0.0,0.0
