Directory,Filename,spine_height,trunk_mass,sex,Min Age (year),Max Age (year),height (m),weight (kg)
.\Female\Age80plus,794_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.39177855,51.22394391,female,80,100,1.555953965,85.35917376
.\Female\Age80plus,801_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.380473201,37.35079244,female,80,100,1.511054616,62.2410642
.\Female\Age80plus,814_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.367863219,31.4813822,female,80,100,1.460973895,52.46032554
.\Female\Age80plus,840_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.384310031,42.41982855,female,80,100,1.526292637,70.68806577
.\Female\Age80plus,861_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.40108339,31.21459082,female,80,100,1.592908268,52.01574651
.\Female\Age80plus,887_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.358040565,43.48699405,female,80,100,1.421963086,72.46638189
.\Female\Age80plus,939_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.3831115,35.48325281,female,80,100,1.521532654,59.12901099
.\Female\Age80plus,942_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.388514228,36.28362694,female,80,100,1.542989666,60.46274808
.\Male\Age4049,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.426444648,45.35892796,male,40,49,1.693630856,75.58575771
.\Male\Age4049,166_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.467569341,40.44048999,male,40,49,1.856958146,67.38971169
.\Male\Age4049,176_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.477363283,53.00983147,male,40,49,1.895854923,88.33516262
.\Male\Age4049,258_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.44430599,48.91113316,male,40,49,1.764567423,81.50512427
.\Male\Age4049,275_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.445480762,52.19009181,male,40,49,1.769233046,86.96915495
.\Male\Age4049,329_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.433250248,46.45191418,male,40,49,1.720659392,77.40710127
.\Male\Age4049,368_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.469657778,42.62646242,male,40,49,1.865252403,71.03239881
.\Male\Age4049,371_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.454110991,48.63788661,male,40,49,1.803508124,81.04978838
.\Male\Age4049,376_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.414746103,35.79529857,male,40,49,1.647169922,59.64900156
.\Male\Age4049,408_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.469573704,47.81814695,male,40,49,1.864918502,79.68378071
.\Male\Age4049,448_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.497459153,54.37606424,male,40,49,1.97566595,90.61184207
.\Male\Age4049,461_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.430585962,41.26022965,male,40,49,1.710078144,68.75571936
.\Male\Age4049,544_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.451858549,55.1958039,male,40,49,1.794562517,91.97784974
.\Male\Age4049,545_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.442719922,54.92255735,male,40,49,1.758268333,91.52251385
.\Male\Age4049,564_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.424717848,43.99269519,male,40,49,1.686772846,73.30907826
.\Male\Age4049,588_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.454958697,55.74229701,male,40,49,1.8068748,92.88852152
.\Male\Age4049,611_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.433528562,51.6435987,male,40,49,1.72176472,86.05848317
.\Male\Age4049,688_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.476301114,56.56203667,male,40,49,1.891636507,94.25452919
.\Male\Age4049,797_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.494997802,57.10852978,male,40,49,1.965890662,95.16520097
.\Male\Age4049,846_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.460247704,38.52776411,male,40,49,1.827880162,64.20236046
.\Male\Age4049,889_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.441259293,42.07996931,male,40,49,1.752467424,70.12172703
.\Male\Age4049,947_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.468263139,47.81814695,male,40,49,1.859713575,79.68378071
.\Male\Age4049,985_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.434364346,37.981271,male,40,49,1.725084048,63.29168868
.\Male\Age4049,986_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.391767097,43.71944864,male,40,49,1.555908479,72.85374237
.\Male\Age4049,989_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.447844,47.81814695,male,40,49,1.77861868,79.68378071
.\Male\Age5059,198_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.40317676,47.81814695,male,50,59,1.601222113,79.68378071
.\Male\Age5059,231_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.448726637,43.99269519,male,50,59,1.782124085,73.30907826
.\Male\Age5059,239_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.479574974,48.36464005,male,50,59,1.904638687,80.59445249
.\Male\Age5059,246_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.443017902,46.17866762,male,50,59,1.759451766,76.95176538
.\Male\Age5059,280_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.456647697,43.17295553,male,50,59,1.813582686,71.94307059
.\Male\Age5059,286_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.413992443,50.27736593,male,50,59,1.644176751,83.78180372
.\Male\Age5059,290_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.454496454,56.83528323,male,50,59,1.805038995,94.70986508
.\Male\Age5059,314_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.429611552,57.38177634,male,50,59,1.706208258,95.62053686
.\Male\Age5059,330_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.395408846,36.88828479,male,50,59,1.570371736,61.47034512
.\Male\Age5059,337_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.420411959,60.11424188,male,50,59,1.669671949,100.1738958
.\Male\Age5059,406_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.440446384,49.73087282,male,50,59,1.749238946,82.87113194
